MLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA4,EState_VSA7,EState_VSA8,ExactMolWt,FractionCSP3,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,RingCount,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA7,SlogP_VSA1,SlogP_VSA2,SlogP_VSA5,SlogP_VSA6,TPSA,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState8,fr_Al_COO,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_NH0,fr_NH1,fr_Ndealkylation2,fr_Nhpyrrole,fr_amide,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_para_hydroxylation
32.668,0.814,269.406,4,1,4,-0.591,67.84,1.8414188231692776,360.8133032870694,13.173362107437434,11.464687385965313,12.281183966893039,8.438471607291001,6.500549178137949,7.380201989392844,5.834790607400247,6.805688773463985,3.3021483625522015,4.066531872148332,2.486782671457029,3.1227183655171626,5.601050810983688,5.106527394840706,0.0,32.72378202956288,25.554857244611703,21.707535182338788,269.156183356,0.7692307692307693,18.0,246.22999999999996,13.93052407316442,5.651337098190459,4.017465797167172,113.2489054538946,9.899127668450811,9.899127668450811,0.07942515960231833,0.4982374338624338,0.07942515960231833,-0.6030733628327876,1.4201000000000001,74.72380000000004,269.41399999999993,1.0,4.0,0.0,1.0,0.0,1.0,5.0,1.0,5.0,4.0,1.0,1.0,102.0,0.0,0.0,14.783797982648164,0.0,0.0,20.771211599071872,2.0,14.783797982648164,0.0,38.95885964511609,16.584530038931756,0.0,57.71224264127081,25.64835879277317,11.707382845230455,39.60000000000001,10.299531069754961,9.899127668450811,1.2890826307247212,0.0,0.4982374338624338,10.918240327760529,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.761,4.157,339.822,2,1,2,4.157,58.28,1.5485342582138342,874.1670482151542,16.518297090128677,13.191398402461886,13.94732734848034,11.720346690612278,7.988909760045905,8.366874233055132,5.851504140270148,6.258704267010754,4.376559417061985,4.696171945322575,3.0853876498353903,3.3406438863490315,0.0,0.0,0.0,47.791970144156245,42.46456947923127,25.83414357205698,339.125073256,0.2222222222222222,24.0,321.6860000000001,15.024491801592205,6.167758617633649,2.7140379851777547,145.22621938754756,6.30060579508969,6.30060579508969,0.22750846757961735,0.5316050094152551,0.22750846757961735,0.5316050094152551,3.192000000000002,99.82840000000002,339.83000000000004,2.0,5.0,0.0,1.0,2.0,3.0,5.0,1.0,6.0,2.0,1.0,1.0,122.0,0.0,0.0,0.0,4.9839785209472085,35.866408164078955,24.26546827384644,4.0,9.967957041894417,0.0,0.0,53.553569861434205,15.533486938863142,36.14698266554472,0.0,48.53093654769288,58.28,13.6252476659388,1.688058268991711,8.06043494537903,1.230687061989371,15.783798934569067,3.4222784391534384,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
66.24,2.719,255.376,2,1,6,2.721,54.55,2.3747553761338476,434.9921961003297,12.88890505706126,10.732816560899362,11.549313141827088,7.882828714625174,5.9175554282356595,7.808966966293915,4.666338647043037,6.4993448355896675,2.6528651582176934,3.3813666984399533,1.619280904508352,2.1344092837043562,10.023291153407584,8.417796984328938,0.0,12.841643245852019,0.0,42.835037537679774,255.129299912,0.5384615384615384,17.0,234.21499999999995,14.191996280223185,6.168228077157347,5.842105374320597,104.29663599629633,10.851076727905731,10.851076727905731,0.2081951741595849,0.5047274974804736,0.2081951741595849,-3.046510597237058,2.2918000000000003,71.69850000000004,255.38299999999998,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,6.0,0.0,0.0,96.0,0.0,0.0,0.0,13.139891848781026,38.112942673227685,29.886452275407404,1.0,4.722094864452088,0.0,32.60702369139466,35.392371257240434,4.722094864452088,21.218322573752918,37.313105051862635,24.26546827384644,46.17,0.0,0.0,2.590474064625851,0.5518065157779262,8.52732418430335,4.848049712883316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69.28,5.541,392.249,3,1,3,5.539,50.94,1.6565450609412595,993.5629329483602,17.225403871315223,13.172372354474199,14.758368893588903,12.20350993820667,7.773974928877946,8.566973198435297,5.57175994023311,6.4874354690248,3.915066366963064,4.443731880001297,2.6357287867811885,2.9000615433003074,0.0,5.106527394840706,5.879988336435371,21.1630739909234,36.39820241076966,50.278072501044036,391.0320241680001,0.0,25.0,378.1440000000001,15.598585502468657,6.529275077310339,3.1857980284670715,153.09134853343377,10.160709965873206,10.160709965873206,0.2157068527030951,0.06082047325102846,0.2157068527030951,0.06082047325102846,5.069400000000003,101.5958,392.25600000000003,1.0,4.0,0.0,0.0,2.0,4.0,4.0,1.0,5.0,3.0,0.0,0.0,122.0,0.0,0.0,0.0,4.9839785209472085,58.394513377180616,35.392371257240434,4.0,14.76446326439343,0.0,0.0,83.46596790898482,0.0,19.870990659234135,0.0,83.46596790898482,50.940000000000005,4.214313806648001,14.622965360991156,3.914439566332605,0.6420543920498827,23.41674393519133,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48.42,3.959,457.528,6,3,7,3.95,98.15,1.4989976088273518,1296.3695701166346,23.49298858481683,19.422823729193837,19.422823729193837,16.60601938362316,11.067699174821964,11.067699174821964,8.120177567731309,8.120177567731309,5.767796208179581,5.767796208179581,4.012571554790058,4.012571554790058,0.0,0.0,0.0,42.01200996751227,31.443616759675095,44.23212734665207,457.22262310400004,0.24,34.0,430.3220000000003,21.720902244699992,9.40165901420201,4.645057598745832,197.70971369923123,5.374940523698294,5.374940523698294,0.22867992925456282,0.44914176009910145,0.22867992925456282,0.44914176009910145,4.027200000000002,132.19809999999998,457.5380000000003,3.0,9.0,0.0,1.0,2.0,4.0,9.0,3.0,9.0,7.0,0.0,0.0,174.0,0.0,0.0,4.681802935145185,4.9839785209472085,6.06636706846161,36.2252151491558,5.0,25.06523038934697,7.04767198267719,12.965578028838586,66.11563610900288,25.42409171961909,40.512793273808285,11.126902983393991,54.98873312560889,98.15,9.356577270766483,14.497672310154655,6.205762763463397,2.4850439835295957,12.005493471885032,1.8844200163811977,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
59.496,-1.524,289.308,5,3,4,-1.424,121.98,2.2403666231081028,669.1409192245792,14.043605595440512,10.355267136718997,11.171763717646723,8.898684032670673,5.844257280772388,7.3274205283667815,4.34929874093324,6.0530957413784705,2.868658222775997,4.444403819498049,1.992219571403668,3.291093347055973,26.16778492218084,18.00687135247258,18.34265078850934,12.841643245852019,4.9839785209472085,9.706073385399296,289.07324158,0.6,19.0,274.193,13.969642403063043,5.27248773884144,3.1127119698117243,108.80174811985795,12.033147203325775,12.033147203325775,0.32544892080195864,0.007953987150415953,0.32544892080195864,-3.96974537037037,-1.1710799999999988,66.58290000000002,289.31300000000005,3.0,8.0,0.0,1.0,0.0,1.0,5.0,3.0,9.0,4.0,1.0,1.0,106.0,5.559266895052008,5.689743398203474,9.77851570501903,17.934429032852847,0.0,19.765380445542643,2.0,14.690051906346504,0.0,30.76483030880872,26.532012656247584,15.97110515770757,37.64135878439715,18.53557124070048,14.484557843661419,121.11999999999999,26.26982131166159,0.0,-1.657169574619971,0.0,0.0,2.085589089592066,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1.776,4.143,445.596,3,1,8,3.318,48.57,1.2289484331997313,1066.4458357189046,22.622745096813755,19.632844544879006,19.632844544879006,16.20784123585624,12.33527014411639,12.33527014411639,9.702799597253549,9.702799597253549,7.509484413124653,7.509484413124653,5.755331482485343,5.755331482485343,0.0,4.794537184071822,5.907179729351506,42.39753248145522,23.229487439386773,46.28209066256734,445.27292736,0.4642857142857143,33.0,410.3270000000002,22.17653144861381,10.103467372929769,4.994705727741728,196.27158424276192,13.363218686426208,13.363218686426208,0.22666123913141162,0.1964796816339025,0.22666123913141162,0.1964796816339025,4.064800000000003,132.3937,445.60700000000026,1.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,8.0,1.0,1.0,174.0,0.0,0.0,9.694446914922299,0.0,42.46456947923127,60.9026704873306,5.0,14.783797982648164,5.917906046161393,38.14594894377801,71.41813459439696,0.0,66.62852367058838,29.531997720943004,54.727780119305955,48.57,21.394525997613293,1.1409098367507668,5.191420587353267,0.7161438235252267,17.701903647867233,4.316253933878566,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0
13.856,2.791,292.335,4,2,4,3.045,81.83,2.1954980453074158,865.5318494153353,15.526733258565956,12.24451982870031,12.24451982870031,10.761881452923198,7.224508016447067,7.224508016447067,5.144597845311524,5.144597845311524,3.7256238446045664,3.7256238446045664,2.4272282024537337,2.4272282024537337,0.0,10.368418949579192,12.648722793660879,22.709970769471866,37.255572541998674,21.35396695869302,292.132411132,0.23529411764705882,22.0,276.214,14.236666634308785,5.9594357973070045,2.44828510423105,127.79541433411622,9.514327916351727,9.514327916351727,0.14596816635158416,0.007703764956650483,0.14596816635158416,-0.12730888342991542,2.837480000000001,86.54650000000004,292.34200000000004,2.0,5.0,0.0,0.0,1.0,3.0,5.0,2.0,5.0,4.0,0.0,0.0,110.0,0.0,0.0,0.0,9.967957041894417,25.122838405075452,18.55355575984923,3.0,9.967957041894417,0.0,19.386399651764595,42.09213040561812,5.316788604006331,27.723207230396,18.90801031431363,36.52867891392113,81.83,8.938545445956159,23.793726666618085,1.888421884185774,0.4710010393046109,11.831668318153708,1.957315656392136,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
99.0,5.295,519.675,3,2,4,5.295,76.02,2.1316652413257304,1206.0973365731377,23.032651236960596,15.788111686741509,18.130037171874672,14.543820313256738,8.472363179499984,9.643325922066566,6.259385110523202,7.508298262745019,4.22311943332758,4.828855859672964,2.8312973814504154,3.4795044756414004,46.464557092418616,27.150734558842927,26.943034167567372,6.06636706846161,0.0,31.662202914263048,517.976828284,0.10526315789473684,31.0,507.58400000000006,22.758244539384336,8.674388985339508,4.280754826535057,185.86831745770394,14.274958890683097,14.274958890683097,0.2739728859406714,0.027909357415806024,0.2739728859406714,-1.7386358534843385,4.764920000000002,108.62840000000004,519.6800000000001,2.0,6.0,0.0,0.0,2.0,3.0,4.0,2.0,12.0,4.0,0.0,0.0,162.0,11.814359458703011,0.0,9.589074368143644,22.243463125844464,11.600939890232516,40.54986672626019,3.0,15.097273347452553,0.0,6.923737199690624,73.98101194899768,10.633577208012662,28.642516184826423,26.409905346386097,28.86866429283032,76.02000000000001,25.10933677460373,8.811912003157044,-1.164390983245149,-8.322843586521437,3.9271957260497476,1.571857824881815,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
33.778,2.865,296.302,4,1,3,2.865,92.89,2.313610202575955,875.669443130889,15.689869965382487,11.914997358830243,11.914997358830243,10.65139700539098,6.85132553442504,6.85132553442504,4.859647806306766,4.859647806306766,3.374650546264106,3.374650546264106,2.365957278440259,2.365957278440259,0.0,4.39041504767482,17.329011613729385,29.66247422409447,12.992958512482897,15.296045424903113,296.118572636,0.2,22.0,283.20500000000004,13.949621190335199,5.40722907419677,2.1461413390572934,125.56028303941646,13.148833204016736,13.148833204016736,0.20465440757232548,0.03120795540438448,0.20465440757232548,-0.3105275195350048,2.33678,79.29840000000002,296.309,2.0,6.0,0.0,0.0,1.0,3.0,6.0,1.0,7.0,3.0,0.0,0.0,110.0,0.0,0.0,0.0,4.39041504767482,25.477292959539852,24.117007251546223,3.0,19.811443318518734,0.0,19.765380445542643,41.470545104589256,5.733667477162185,19.811443318518734,24.732414812313557,24.26546827384644,92.89,0.0,21.34309701646958,8.7766986856471,-0.15940276098961115,7.99062585892943,2.0359110187284792,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
